13,41,258,452,0
13,42,676,575,0
13,43,444,282,0
14,0,190,644,0
14,1,339,622,0
14,2,15,224,0
14,3,258,621,0
14,4,325,3,0
14,5,462,649,0
14,6,48,547,0
14,7,266,72,0
14,8,569,635,0
14,9,377,707,0
14,11,157,486,0
14,12,214,428,0
14,13,225,491,0
14,14,69,127,0
14,15,476,189,0
14,16,703,254,0
14,17,46,474,0
14,18,719,519,0
14,19,157,22,0
14,20,593,323,0
14,21,444,282,0
14,22,734,563,0
14,23,376,373,0
14,24,307,656,0
14,25,622,335,0
14,26,353,307,0
14,27,743,221,0
14,28,532,78,0
14,29,180,502,0
14,30,278,390,0
14,31,98,527,0
14,32,273,214,0
14,33,166,642,0
14,34,189,677,0
14,35,134,191,0
14,36,538,352,0
14,37,580,264,0
14,38,69,544,0
14,39,701,591,0
14,40,530,491,0
14,41,258,452,0
14,42,676,575,0
14,43,444,281,0
15,0,191,643,0
15,1,338,622,0
15,2,15,223,0
15,3,257,621,0
15,4,325,4,0
15,5,463,648,0
15,6,47,547,0
15,7,266,71,0
15,8,568,635,0
15,9,378,708,0
15,11,158,486,0
15,12,214,427,0
15,13,226,491,0
15,14,68,128,0
15,15,477,189,0
15,16,704,255,0
15,17,46,475,0
15,18,718,519,0
15,19,158,22,0
15,20,594,323,0
15,21,444,281,0
15,22,735,562,0
15,23,377,373,0
15,24,308,655,0
15,25,622,334,0
15,26,354,308,0
15,27,743,222,0
15,28,532,78,0
15,29,180,502,0
15,30,278,390,0
15,31,98,527,0
15,32,273,214,0
15,33,166,642,0
15,34,189,677,0
15,35,134,191,0
15,36,538,352,0
15,37,580,264,0
15,38,69,544,0
15,39,701,591,0
15,40,530,491,0
15,41,258,452,0
15,42,676,575,0
15,43,444,281,0
16,0,192,643,0
16,1,337,623,0
16,2,15,222,0
16,3,256,622,0
16,4,326,5,0
16,5,464,648,0
16,6,46,547,0
16,7,266,70,0
16,8,567,635,0
16,9,378,709,0
16,11,158,486,0
16,12,214,426,0
16,13,227,491,0
16,14,67,128,0
16,15,478,188,0
16,16,705,256,0
16,17,45,476,0
16,18,718,520,0
16,19,158,22,0
16,20,595,322,0
16,21,445,280,0
16,22,735,562,0
16,23,378,373,0
16,24,309,655,0
16,25,622,333,0
16,26,354,309,0
16,27,743,223,0
16,28,532,78,0
16,29,180,502,0
16,30,278,390,0
16,31,98,527,0
