0,5,count
286,Prey,16
287,Grass,10
287,Hunter,9
287,Prey,16
288,Grass,10
288,Hunter,9
288,Prey,16
289,Grass,10
289,Hunter,9
289,Prey,16
290,Grass,10
290,Hunter,9
290,Prey,16
291,Grass,10
291,Hunter,9
291,Prey,16
292,Grass,10
292,Hunter,8
292,Prey,16
293,Grass,10
293,Hunter,8
293,Prey,16
294,Grass,10
294,Hunter,8
294,Prey,16
295,Grass,10
295,Hunter,8
295,Prey,16
296,Grass,10
296,Hunter,8
296,Prey,16
297,Grass,10
297,Hunter,8
297,Prey,16
298,Grass,10
298,Hunter,8
298,Prey,16
299,Grass,10
299,Hunter,8
299,Prey,16
300,Grass,10
300,Hunter,8
300,Prey,16
301,Grass,10
301,Hunter,8
301,Prey,16
302,Grass,10
302,Hunter,8
302,Prey,16
303,Grass,10
303,Hunter,8
303,Prey,16
304,Grass,10
304,Hunter,8
304,Prey,16
305,Grass,10
305,Hunter,8
305,Prey,16
306,Grass,10
306,Hunter,8
306,Prey,16
307,Grass,10
307,Hunter,8
307,Prey,16
308,Grass,10
308,Hunter,8
308,Prey,16
309,Grass,10
309,Hunter,8
309,Prey,17
310,Grass,10
310,Hunter,8
310,Prey,17
311,Grass,10
311,Hunter,8
311,Prey,17
312,Grass,10
312,Hunter,8
312,Prey,17
313,Grass,10
313,Hunter,8
313,Prey,17
314,Grass,10
314,Hunter,8
314,Prey,17
315,Grass,10
315,Hunter,8
315,Prey,17
316,Grass,10
316,Hunter,8
316,Prey,17
317,Grass,10
317,Hunter,8
317,Prey,17
318,Grass,10
318,Hunter,8
318,Prey,17
319,Grass,10
319,Hunter,8
319,Prey,17
320,Grass,10
320,Hunter,8
320,Prey,17
321,Grass,10
321,Hunter,8
321,Prey,17
322,Grass,10
322,Hunter,8
322,Prey,17
323,Grass,10
323,Hunter,8
323,Prey,17
324,Grass,10
324,Hunter,8
324,Prey,17
325,Grass,10
325,Hunter,8
325,Prey,17
326,Grass,10
326,Hunter,8
326,Prey,17
327,Grass,10
327,Hunter,8
327,Prey,17
328,Grass,10
328,Hunter,8
328,Prey,17
329,Grass,10
329,Hunter,8
329,Prey,17
330,Grass,10
330,Hunter,8
330,Prey,17
331,Grass,10
331,Hunter,8
331,Prey,17
332,Grass,10
332,Hunter,8
332,Prey,17
333,Grass,10
333,Hunter,8
333,Prey,17
334,Grass,10
334,Hunter,8
334,Prey,17
335,Grass,10
335,Hunter,8
335,Prey,17
336,Grass,10
336,Hunter,8
336,Prey,17
337,Grass,10
337,Hunter,8
337,Prey,17
338,Grass,10
338,Hunter,8
338,Prey,17
339,Grass,10
339,Hunter,8
339,Prey,17
340,Grass,10
340,Hunter,8
340,Prey,17
341,Grass,10
341,Hunter,8
341,Prey,17
342,Grass,10
342,Hunter,8
342,Prey,17
343,Grass,10
343,Hunter,8
343,Prey,17
344,Grass,10
344,Hunter,8
344,Prey,17
345,Grass,10
345,Hunter,8
345,Prey,17
346,Grass,10
346,Hunter,8
346,Prey,17
347,Grass,10
347,Hunter,8
347,Prey,17
348,Grass,10
348,Hunter,8
348,Prey,17
349,Grass,10
349,Hunter,8
349,Prey,17
350,Grass,10
350,Hunter,8
350,Prey,17
351,Grass,10
351,Hunter,8
351,Prey,17
352,Grass,10
352,Hunter,8
352,Prey,17
353,Grass,10
353,Hunter,8
353,Prey,17
354,Grass,10
354,Hunter,8
354,Prey,17
355,Grass,10
355,Hunter,8
355,Prey,17
356,Grass,10
356,Hunter,8
356,Prey,17
357,Grass,10
357,Hunter,8
357,Prey,17
358,Grass,10
358,Hunter,8
358,Prey,17
359,Grass,10
359,Hunter,8
359,Prey,17
360,Grass,10
360,Hunter,8
360,Prey,17
361,Grass,10
361,Hunter,7
361,Prey,17
362,Grass,10
362,Hunter,7
362,Prey,17
363,Grass,10
363,Hunter,7
363,Prey,17
364,Grass,10
364,Hunter,7
364,Prey,17
365,Grass,10
365,Hunter,7
365,Prey,17
366,Grass,10
366,Hunter,7
366,Prey,17
367,Grass,10
367,Hunter,7
367,Prey,17
368,Grass,10
368,Hunter,7
368,Prey,17
369,Grass,10
369,Hunter,7
369,Prey,17
370,Grass,10
370,Hunter,7
370,Prey,17
371,Grass,10
371,Hunter,7
371,Prey,17
372,Grass,10
372,Hunter,7
372,Prey,17
373,Grass,10
373,Hunter,7
373,Prey,17
374,Grass,10
374,Hunter,7
374,Prey,17
375,Grass,10
375,Hunter,7
375,Prey,17
376,Grass,10
376,Hunter,7
376,Prey,17
377,Grass,10
377,Hunter,7
377,Prey,17
378,Grass,10
378,Hunter,7
378,Prey,17
379,Grass,10
379,Hunter,7
379,Prey,17
380,Grass,10
380,Hunter,7
380,Prey,17
381,Grass,10
381,Hunter,7
381,Prey,17
382,Grass,10
382,Hunter,7
382,Prey,17
383,Grass,10
383,Hunter,7
383,Prey,17
384,Grass,10
384,Hunter,7
384,Prey,17
385,Grass,10
385,Hunter,7
385,Prey,17
386,Grass,10
386,Hunter,7
386,Prey,17
387,Grass,10
387,Hunter,7
387,Prey,17
388,Grass,10
388,Hunter,7
388,Prey,17
389,Grass,10
389,Hunter,7
389,Prey,17
390,Grass,10
390,Hunter,7
390,Prey,17
391,Grass,10
391,Hunter,7
391,Prey,17
392,Grass,10
392,Hunter,7
392,Prey,17
393,Grass,10
393,Hunter,7
393,Prey,17
394,Grass,10
394,Hunter,7
394,Prey,17
395,Grass,10
395,Hunter,7
395,Prey,17
396,Grass,10
396,Hunter,7
396,Prey,17
397,Grass,10
397,Hunter,7
397,Prey,17
398,Grass,10
398,Hunter,7
398,Prey,17
399,Grass,10
399,Hunter,7
399,Prey,17
400,Grass,10
400,Hunter,7
400,Prey,17
401,Grass,10
401,Hunter,7
401,Prey,17
402,Grass,10
402,Hunter,7
402,Prey,17
403,Grass,10
403,Hunter,7
403,Prey,17
404,Grass,10
404,Hunter,7
404,Prey,17
405,Grass,10
405,Hunter,7
405,Prey,17
406,Grass,10
406,Hunter,7
406,Prey,17
407,Grass,10
407,Hunter,7
407,Prey,17
408,Grass,10
408,Hunter,7
408,Prey,17
409,Grass,10
409,Hunter,7
409,Prey,17
410,Grass,10
410,Hunter,7
410,Prey,17
411,Grass,10
411,Hunter,7
411,Prey,17
412,Grass,10
412,Hunter,7
412,Prey,17
413,Grass,10
413,Hunter,7
413,Prey,17
414,Grass,10
414,Hunter,7
414,Prey,17
415,Grass,10
415,Hunter,7
415,Prey,17
416,Grass,10
416,Hunter,7
416,Prey,17
417,Grass,10
417,Hunter,7
417,Prey,17
418,Grass,10
418,Hunter,7
418,Prey,17
419,Grass,10
419,Hunter,7
419,Prey,17
420,Grass,10
420,Hunter,7
420,Prey,17
421,Grass,10
421,Hunter,7
421,Prey,17
422,Grass,10
422,Hunter,7
422,Prey,17
423,Grass,10
423,Hunter,7
423,Prey,17
424,Grass,10
424,Hunter,7
424,Prey,17
425,Grass,10
425,Hunter,7
425,Prey,17
426,Grass,10
426,Hunter,7
426,Prey,17
427,Grass,10
427,Hunter,7
427,Prey,17
428,Grass,10
428,Hunter,7
428,Prey,17
429,Grass,10
429,Hunter,7
429,Prey,17
430,Grass,10
430,Hunter,7
430,Prey,17
431,Grass,10
431,Hunter,7
431,Prey,17
432,Grass,10
432,Hunter,7
432,Prey,17
433,Grass,10
433,Hunter,7
433,Prey,17
434,Grass,10
434,Hunter,7
434,Prey,17
435,Grass,10
435,Hunter,7
435,Prey,17
436,Grass,10
436,Hunter,7
436,Prey,17
437,Grass,10
437,Hunter,7
437,Prey,17
438,Grass,10
438,Hunter,7
438,Prey,17
439,Grass,10
439,Hunter,7
439,Prey,17
440,Grass,10
440,Hunter,7
440,Prey,17
441,Grass,10
441,Hunter,7
441,Prey,17
442,Grass,10
442,Hunter,7
442,Prey,17
443,Grass,10
443,Hunter,7
443,Prey,17
444,Grass,10
444,Hunter,7
444,Prey,17
445,Grass,10
445,Hunter,7
445,Prey,17
446,Grass,10
446,Hunter,7
446,Prey,17
447,Grass,10
447,Hunter,7
447,Prey,17
448,Grass,10
448,Hunter,7
448,Prey,17
449,Grass,10
449,Hunter,7
449,Prey,17
450,Grass,10
450,Hunter,7
450,Prey,17
451,Grass,10
451,Hunter,7
451,Prey,17
452,Grass,10
452,Hunter,7
452,Prey,17
453,Grass,10
453,Hunter,7
453,Prey,17
454,Grass,10
454,Hunter,7
454,Prey,17
455,Grass,10
455,Hunter,7
455,Prey,17
456,Grass,10
456,Hunter,7
456,Prey,17
457,Grass,10
457,Hunter,7
457,Prey,17
458,Grass,10
458,Hunter,7
458,Prey,17
459,Grass,10
459,Hunter,7
459,Prey,17
460,Grass,10
460,Hunter,7
460,Prey,17
461,Grass,10
461,Hunter,7
461,Prey,17
462,Grass,10
462,Hunter,7
462,Prey,17
463,Grass,10
463,Hunter,7
463,Prey,17
464,Grass,10
464,Hunter,7
464,Prey,17
465,Grass,10
465,Hunter,7
465,Prey,17
466,Grass,10
466,Hunter,7
466,Prey,17
467,Grass,10
467,Hunter,7
467,Prey,17
468,Grass,10
468,Hunter,7
468,Prey,17
469,Grass,10
469,Hunter,7
469,Prey,17
470,Grass,10
470,Hunter,7
470,Prey,17
471,Grass,10
471,Hunter,7
471,Prey,17
472,Grass,10
472,Hunter,7
472,Prey,17
473,Grass,10
473,Hunter,7
473,Prey,17
474,Grass,10
474,Hunter,7
474,Prey,17
475,Grass,10
475,Hunter,7
475,Prey,17
476,Grass,10
476,Hunter,7
476,Prey,17
477,Grass,10
477,Hunter,7
477,Prey,17
478,Grass,10
478,Hunter,7
478,Prey,17
479,Grass,10
479,Hunter,7
479,Prey,17
480,Grass,10
480,Hunter,7
480,Prey,17
481,Grass,10
481,Hunter,7
481,Prey,17
482,Grass,10
482,Hunter,7
482,Prey,17
483,Grass,10
483,Hunter,7
483,Prey,17
484,Grass,10
484,Hunter,7
484,Prey,17
485,Grass,10
485,Hunter,7
485,Prey,17
486,Grass,10
486,Hunter,7
486,Prey,17
487,Grass,10
487,Hunter,7
487,Prey,17
488,Grass,10
488,Hunter,7
488,Prey,17
489,Grass,10
489,Hunter,7
489,Prey,17
490,Grass,10
490,Hunter,6
490,Prey,17
491,Grass,10
491,Hunter,6
491,Prey,17
492,Grass,10
492,Hunter,6
492,Prey,17
493,Grass,10
493,Hunter,6
493,Prey,17
494,Grass,10
494,Hunter,6
494,Prey,17
495,Grass,10
495,Hunter,6
495,Prey,17
496,Grass,10
496,Hunter,6
496,Prey,17
497,Grass,10
497,Hunter,6
497,Prey,17
498,Grass,10
498,Hunter,6
498,Prey,17
499,Grass,10
499,Hunter,6
499,Prey,17
500,Grass,10
500,Hunter,6
500,Prey,17
501,Grass,10
501,Hunter,6
501,Prey,17
502,Grass,10
502,Hunter,6
502,Prey,17
503,Grass,10
503,Hunter,6
503,Prey,17
504,Grass,10
504,Hunter,6
504,Prey,17
505,Grass,10
505,Hunter,6
505,Prey,17
506,Grass,10
506,Hunter,6
506,Prey,17
507,Grass,10
507,Hunter,6
507,Prey,17
508,Grass,10
508,Hunter,6
508,Prey,17
509,Grass,10
509,Hunter,6
509,Prey,17
510,Grass,10
510,Hunter,6
510,Prey,17
511,Grass,10
511,Hunter,6
511,Prey,17
512,Grass,10
512,Hunter,6
512,Prey,17
513,Grass,10
513,Hunter,6
513,Prey,17
514,Grass,10
514,Hunter,6
514,Prey,17
515,Grass,10
515,Hunter,6
515,Prey,17
516,Grass,10
516,Hunter,6
516,Prey,17
517,Grass,10
517,Hunter,6
517,Prey,17
518,Grass,10
518,Hunter,6
518,Prey,17
519,Grass,10
519,Hunter,6
519,Prey,18
520,Grass,10
520,Hunter,6
520,Prey,18
521,Grass,10
521,Hunter,6
521,Prey,18
522,Grass,10
522,Hunter,6
522,Prey,18
523,Grass,10
523,Hunter,6
523,Prey,18
524,Grass,10
524,Hunter,6
524,Prey,18
525,Grass,10
525,Hunter,6
525,Prey,18
526,Grass,10
526,Hunter,6
526,Prey,18
527,Grass,10
527,Hunter,6
527,Prey,18
528,Grass,10
528,Hunter,6
528,Prey,18
529,Grass,10
529,Hunter,6
529,Prey,18
530,Grass,10
530,Hunter,6
530,Prey,18
531,Grass,10
531,Hunter,6
531,Prey,18
532,Grass,10
532,Hunter,6
532,Prey,18
533,Grass,10
533,Hunter,6
533,Prey,18
534,Grass,10
534,Hunter,6
534,Prey,18
535,Grass,10
535,Hunter,6
535,Prey,18
536,Grass,10
536,Hunter,6
536,Prey,18
537,Grass,10
537,Hunter,6
537,Prey,18
538,Grass,10
538,Hunter,6
538,Prey,18
539,Grass,10
539,Hunter,6
539,Prey,18
540,Grass,10
540,Hunter,6
540,Prey,18
541,Grass,10
541,Hunter,6
541,Prey,18
542,Grass,10
542,Hunter,6
542,Prey,18
543,Grass,10
543,Hunter,6
543,Prey,18
544,Grass,10
544,Hunter,6
544,Prey,18
545,Grass,10
545,Hunter,6
545,Prey,18
546,Grass,10
546,Hunter,6
546,Prey,18
547,Grass,10
547,Hunter,6
547,Prey,18
548,Grass,10
548,Hunter,6
548,Prey,18
549,Grass,10
549,Hunter,6
549,Prey,18
550,Grass,10
550,Hunter,6
550,Prey,18
551,Grass,10
551,Hunter,6
551,Prey,18
552,Grass,10
552,Hunter,6
552,Prey,18
553,Grass,10
553,Hunter,6
553,Prey,18
554,Grass,10
554,Hunter,6
554,Prey,18
555,Grass,10
555,Hunter,6
555,Prey,18
556,Grass,10
556,Hunter,6
556,Prey,18
557,Grass,10
557,Hunter,6
557,Prey,18
558,Grass,10
558,Hunter,6
558,Prey,18
